Date,Cloudiness,Rainfall,Max Temperature,Min Temperature,Humidity,Mean Temperature,Flood Label
28-02-94,8.035714,399.5,29.753571,22.685714,89.883929,25.771429,1
31-03-94,7.870968,259.5,30.587097,23.067742,86.91129,26.116774,0
30-04-94,6.944444,258.7,30.72,23.036667,85.658333,26.306,1
31-05-94,6.344086,174.2,30.622581,23,84.806452,26.52129,0
30-06-94,6.066667,125.2,30.226667,22.746667,84.625,26.146,0
31-07-94,4.27957,33,31.245161,22.858065,78.491935,26.726452,0
31-08-94,4.913978,96.7,32.322581,22.887097,79.032258,27.068387,1
30-09-94,5.449438,62.6,32.816667,23.65,77.844828,27.639333,0
31-10-94,5.150538,91.8,33.080645,23.703226,75.935484,28.036774,0
30-11-94,6.966667,207.3,32.753333,23.416667,79.166667,27.554,1
31-12-94,6.623656,222.5,31.219355,23.151613,83.669355,26.936129,0
31-01-95,6.709677,286,31.019355,22.99375,82.459677,24.516129,1
28-02-95,6.97619,132,30.971429,23.496429,82.991071,26.657857,0
31-03-95,7.268817,301.4,31.096774,23.03871,84.306452,26.674839,0
30-04-95,7.488889,480.5,30.593333,22.94,86.725,26.252667,1
31-05-95,6.935484,217.5,30.770968,23.164516,86.741935,26.261935,0
30-06-95,5.477778,107,30.846667,23.153333,82.016667,26.708667,0
31-07-95,3.860215,76.9,32.322581,23.545161,75.943548,27.568387,0
31-08-95,3.473118,34.2,33.532258,24.393548,72.870968,28.539355,0
30-09-95,3.644444,72.4,33.6,24.443333,75.391667,28.468,0
31-10-95,4.795699,81,33.509677,24.235484,75.758065,28.101935,0
30-11-95,6.988889,312,31.273333,23.34,86.166667,26.690667,0
31-12-95,7.064516,160.5,31.480645,23.319355,85.241935,26.623226,0
31-01-96,7.096774,571.3,29.941935,22.606452,86.758065,25.581935,1
29-02-96,7.149425,257.6,30.224138,22.827586,85.37931,25.99931,0
31-03-96,7.344086,338.1,30.635484,23.13871,84.790323,26.169032,1
30-04-96,7.388889,428.5,30.05,23.08,86.25,26.044,1
31-05-96,6.569892,127.5,30.916129,23.532258,83.580645,26.706452,0
30-06-96,3.711111,185.1,30.593333,22.373333,75.916667,27.888667,0
31-07-96,4.391304,16.9,31.6,22.774194,75.870968,26.930968,0
31-08-96,4.569892,65,32.122581,23.383871,79.556452,27.117419,0
30-09-96,4.511111,114,33.056667,23.926667,75.725,28.225333,1
31-10-96,5.505376,186,32.570968,23.870968,80.41129,27.675484,0
30-11-96,6.455556,163,32.346667,23.71,81.225,27.641333,0
31-12-96,7.451613,142.2,31.36129,23.558065,83.814516,26.716129,0
31-01-97,7.376344,220.6,30.180645,23.267742,86.459677,26.116129,0
28-02-97,7.440476,344.5,30.042857,22.892857,86.901786,25.941429,0
31-03-97,7.956989,534.9,29.893548,23.012903,88.669355,25.796129,1
30-04-97,7.144444,310.8,30.673333,23.486667,84.725,26.695333,0
31-05-97,6.247312,252.2,30.925806,23.706452,82.733871,26.807742,1
30-06-97,3.711111,9.5,32.146667,24.2,75.916667,27.888667,0
31-07-97,3.698925,0,33.3,24.554839,72.782258,28.783871,0
31-08-97,4,111.5,32.993548,23.690323,72.895161,28.334194,1
30-09-97,5.788889,40.5,35.2,24.423333,63.608333,30.156667,0
31-10-97,5.172043,60.9,35.83871,24.758065,73.975806,29.923226,0
30-11-97,6.744444,182.3,33.153333,23.956667,80.45,27.847333,0
31-12-97,6.55914,261.5,32.096774,23.790323,82.572581,27.412258,0
31-01-98,7.526882,302.6,31.3,23.174194,85.274194,26.810968,0
28-02-98,7.166667,171.7,32.271429,23.553571,84.669643,27.569286,1
31-03-98,8,210.8,31.493548,23.096774,88.830645,26.973548,0
30-04-98,7.033333,407.2,31.296667,22.43,91.141667,26.734667,1
31-05-98,7.043011,273.4,31.019355,22.490323,90.362903,26.60129,0
30-06-98,5.811111,167.2,31.276667,21.903333,89.191667,26.401333,0
31-07-98,5.064516,92,31.945161,22.225806,87.379032,26.598065,0
31-08-98,5.086022,41.8,33.087097,22.016129,84.991935,27.541935,0
30-09-98,5.288889,115.6,32.793333,21.886667,86.15,26.994667,0
31-10-98,5.182796,73.5,33.306452,22.516129,85.33871,27.607097,0
30-11-98,7.4,153.6,32.026667,21.97,89.383333,26.807333,0
31-12-98,6.709677,191,32.577419,21.722581,85.040323,27.132258,0
31-01-99,8.774194,411.6,30.277419,21.03871,92.685484,25.488387,1
28-02-99,8.75,260.8,30.232143,20.796429,92.767857,25.421429,0
31-03-99,8.021505,233.2,30.374194,20.612903,91.459677,25.4,1
30-04-99,7.711111,421.2,30.546667,20.866667,91.291667,25.608,1
31-05-99,6.666667,445.4,30.112903,20.935484,92.491935,25.343871,0
30-06-99,5.922222,149.3,31.17,20.983333,89.95,25.956,1
31-07-99,4.462366,25.3,31.693548,21.174194,83.427419,26.121935,0
31-08-99,6.064516,40.6,32.587097,21.590323,79.346774,26.534839,0
30-09-99,5.6,98.8,32.976667,21.953333,82.291667,26.962,0
31-10-99,5.602151,132.3,33.532258,22.025806,77.379032,27.316774,0
30-11-99,5.511111,203.5,33.016667,22.726667,78.966667,27.651333,0
31-12-99,6.548387,198.3,32.432258,22.670968,81.790323,26.980645,0
31-01-00,7.032258,350.2,30.825806,21.816129,83.927419,25.871613,1
29-02-00,7.62069,344.4,30.534483,21.644828,84.577586,25.693793,0
31-03-00,7.903226,340.7,30.406452,21.858065,86.137097,25.698065,1
30-04-00,7.477778,535.4,30.436667,21.49,86.966667,25.507333,1
31-05-00,6.709677,172.6,31.458065,22.287097,85.314516,26.333548,0
30-06-00,5.411111,48.2,32.543333,21.953333,81.975,26.732667,0
31-07-00,6.236559,40.8,31.96129,21.848387,88.991935,26.150323,0
31-08-00,4.774194,140,32.983871,22.454839,84.209677,27.113548,1
30-09-00,5.666667,218.1,33.28,22.806667,86.841667,27.349333,0
31-10-00,6.462366,47.2,33.564516,22.922581,86.080645,27.289677,1
30-11-00,5.811111,169.7,33.846667,22.546667,85.233333,27.485333,0
31-12-00,5.860215,192.3,32.332258,22.283871,82.814516,27.050968,0
31-01-01,7.72043,348.4,29.929032,20.767742,87.862903,25.203871,0
28-02-01,7.428571,219.5,31.271429,22.132143,86.098214,26.019286,0
31-03-01,7.129032,216.8,31.66129,23.480645,85.935484,26.686452,0
30-04-01,7.011111,188.2,31.413333,23.49,87.433333,26.480667,0
31-05-01,6.516129,231.6,32.270968,24.012903,85.08871,27.155484,1
30-06-01,7.033333,164.1,30.463333,22.536667,85.583333,25.644,0
31-07-01,4.978495,30.6,32.287097,23.077419,81.548387,26.730968,0
31-08-01,3.365591,14.9,34.525806,23.712903,73.282258,28.326452,0
30-09-01,4.744444,88.2,34.01,23.53,76.675,27.841333,0
31-10-01,5.451613,28.1,35.367742,24.841935,71.395161,29.092258,0
30-11-01,5.755556,55,28.546667,24.436667,75.525,27.411333,0
31-12-01,7.258065,213,31.541935,24.174194,86.008065,27.086452,0
31-01-02,7.193548,380.8,31.848387,23.651613,82.685484,26.849677,1
28-02-02,7.357143,239.9,31.103571,23.685714,85.169643,26.543571,0
31-03-02,7.505376,195.3,31.583871,23.648387,84.653226,26.736774,0
30-04-02,7.233333,376.7,31.31,23.713333,83.716667,26.746,1
31-05-02,7.422222,262.9,31.048387,24.041935,85.556452,26.846452,0
